cluster	p_value	phenotype	cohort
2_2.1	0.45010747659427996	psa	PRAD
3_3.1	0.03519405079950573	psa	PRAD
3_3.2	0.00018540959542794668	psa	PRAD
3.1_3.2	0.1409560001497744	psa	PRAD
4_4.1	0.0024165868770862024	psa	PRAD
4_4.2	0.0032842107040356116	psa	PRAD
4_4.3	0.1012178382811258	psa	PRAD
4.1_4.2	0.7227840591917443	psa	PRAD
4.1_4.3	0.2200496364522937	psa	PRAD
4.2_4.3	0.3037159884970837	psa	PRAD
2_2.1	0.018675927765968586	gleason score	PRAD
3_3.1	0.0008281589122244277	gleason score	PRAD
3_3.2	3.770218494230147e-09	gleason score	PRAD
3.1_3.2	0.003482561734336934	gleason score	PRAD
4_4.1	4.394003315313073e-06	gleason score	PRAD
4_4.2	6.796383145517968e-07	gleason score	PRAD
4_4.3	8.146982452796388e-06	gleason score	PRAD
4.1_4.2	0.3548509834046404	gleason score	PRAD
4.1_4.3	0.4958044476569726	gleason score	PRAD
4.2_4.3	0.8240735642213629	gleason score	PRAD
