driver	Driver_2_cluster_label_2.0	Driver_2_cluster_label_2.1	Driver_3_cluster_label_3.0	Driver_3_cluster_label_3.1	Driver_3_cluster_label_3.2	Driver_4_cluster_label_4.0	Driver_4_cluster_label_4.1	Driver_4_cluster_label_4.2	Driver_4_cluster_label_4.3
ARRB2	9	43	9		43	6	0	3	43
TP53	9	43	9		43	6	0	3	43
ATR	9	42	9		42	6	0	3	42
RHOA	9	41	9		41	6	0	3	41
POU2F1	9	41	9		41	6	0	3	41
SP1	9	40	9		40	6	0	3	40
RPL39	9	40	9		40	6	0	3	40
CD40	9	40	9		40	6	0	3	40
GNAL	9	40	9		40	6	0	3	40
GNGT1	9	39	9		39	6	0	3	39
RHOU	9	39	9		39	6	0	3	39
PXN	9	39	9		39	6	0	3	39
MYC	9	38	9		38	6	0	3	38
ZNF485	9	38	9		38	6	0	3	38
ZNF667	9	38	9		38	6	0	3	38
RARB	9	38	9		38	6	0	3	38
CENPO	9	38	9		38	6	0	3	38
POLR3E	9	37	9		37	6	0	3	37
DEK	9	37	9		37	6	0	3	37
SNRPD3	9	37	9		37	6	0	3	37
PPP2CB	9	37	9		37	6	0	3	37
SRC	9	37	9		37	6	0	3	37
CTNNB1	9	37	9		37	6	0	3	37
LRP6	9	37	9		37	6	0	3	37
CTSB	9	36	9		36	6	0	3	36
NSF	9	36	9		36	6	0	3	36
EP300	9	36	9		36	6	0	3	36
EXOSC8	9	36	9		36	6	0	3	36
NR3C1	9	36	9		36	6	0	3	36
SDC2	9	36	9		36	6	0	3	36
ZNF154	9	36	9		36	6	0	3	36
CREBBP	9	36	9		36	6	0	3	36
MAPK3	9	36	9		36	6	0	3	36
CLTC	9	36	9		36	6	0	3	36
ZNF74	9	36	9		36	6	0	3	36
ZNF404	8	35	8		35	6	0	3	35
SNRNP200	8	35	8		35	6	0	3	35
ZNF655	8	35	8		35	6	0	3	35
ZNF30	8	35	8		35	6	0	3	35
CALM1	8	35	8		35	6	0	3	35
NEDD8	8	35	8		35	6	0	3	35
AURKB	8	35	8		35	6	0	3	35
HIST2H2AC	8	35	8		35	6	0	3	35
ZNF146	8	35	8		35	6	0	3	35
PCDHB5	8	35	8		35	6	0	3	35
GNB5	8	35	8		35	6	0	3	35
F12	8	35	8		35	6	0	3	35
ZNF766	8	34	8		34	6	0	3	34
ZNF334	8	34	8		34	6	0	3	34
ERBB3	8	34	8		34	6	0	3	34
RPS27A	8	34	8		34	6	0	3	34
ZNF34	8	34	8		34	6	0	3	34
PAK3	8	34	8		34	6	0	3	34
GNAI2	8	34	8		34	6	0	3	34
LMX1B	8	34	8		34	6	0	3	34
RHOF	8	34	8		34	6	0	3	34
HDAC1	8	34	8		34	6	0	3	34
ZNF577	8	34	8		34	6	0	3	34
MATK	8	34	8		34	6	0	3	34
SMAD1	8	34	8		34	5	0	3	34
CDCA8	8	34	8		34	5	0	3	34
TRAM2	8	34	8		34	5	0	3	34
RAN	8	34	8		34	5	0	3	34
PDPK1	8	34	8		34	5	0	3	34
ZNF846	8	34	8		34	5	0	3	34
SMC1A	8	34	8		34	5	0	3	34
ZSCAN22	8	34	8		34	5	0	3	34
TLE1	8	34	8		34	5	0	3	34
NUPL2	8	34	8		34	5	0	3	34
ZSCAN2	8	33	8		33	5	0	3	33
SP3	8	33	8		33	5	0	3	33
ZNF253	8	33	8		33	5	0	3	33
CNOT7	8	33	8		33	5	0	3	33
ZNF442	8	33	8		33	5	0	3	33
ZNF230	8	33	8		33	5	0	3	33
NUP98	8	33	8		33	5	0	3	33
POLR2D	8	33	8		33	5	0	3	33
PRKX	8	33	8		33	5	0	3	33
HIPK2	8	33	8		33	5	0	3	33
FYN	8	33	8		33	5	0	3	33
ZNF595	8	33	8		33	5	0	3	33
PRKACA	8	33	8		33	5	0	3	33
CRK	8	33	8		33	5	0	3	33
CDK5R1	8	33	8		33	5	0	3	33
CKS1B	8	33	8		33	5	0	3	33
EIF4G1	8	32	8		32	5	0	3	32
AR	8	32	8		32	5	0	3	32
TXNL4A	8	32	8		32	5	0	3	32
ZNF583	8	32	8		32	5	0	3	32
PCDHGB1	8	32	8		32	5	0	3	32
ACTB	8	32	8		32	5	0	3	32
ACTR1A	8	32	8		32	5	0	3	32
RARA	8	32	8		32	5	0	3	32
POLR2H	8	32	8		32	5	0	3	32
SMARCA4	8	32	8		32	5	0	3	32
NUP210	8	32	8		32	5	0	3	32
USP7	8	32	8		32	5	0	3	32
DLG4	8	32	8		32	5	0	3	32
ZNF454	8	32	8		32	5	0	3	32
TFAP2A	8	32	8		32	5	0	3	32
EIF4A2	8	32	8		32	5	0	3	32
EGF	8	32	8		32	5	0	3	32
MYB	8	32	8		32	5	0	3	32
RXRB	8	32	8		32	5	0	3	32
HTT	8	32	8		32	5	0	3	32
PTK2B	8	32	8		32	5	0	3	32
ZNF578	8	32	8		32	5	0	3	32
PLCG1	8	32	8		32	5	0	3	32
BMPR1A	8	31	8		31	5	0	3	31
GNB1	8	31	8		31	5	0	3	31
MAP2K4	8	31	8		31	5	0	3	31
SKP1	8	31	8		31	5	0	3	31
PTBP1	8	31	8		31	5	0	3	31
KLK3	8	31	8		31	5	0	3	31
SMAD3	8	31	8		31	5	0	3	31
PEX5	8	31	8		31	5	0	3	31
ZNF763	8	31	8		31	5	0	3	31
ZNF841	8	31	8		31	5	0	3	31
POM121	8	31	8		31	5	0	3	31
FGFR2	8	31	8		31	5	0	3	31
PRPF6	8	31	8		31	5	0	3	31
RHOQ	7	31	7		31	5	0	3	31
NOTCH1	7	31	7		31	5	0	3	31
ZNF239	7	31	7		31	5	0	3	31
CSNK2A2	7	31	7		31	5	0	3	31
BTRC	7	31	7		31	5	0	3	31
ZNF350	7	31	7		31	5	0	3	31
